Πρόβλημα,Επικύρωση,Στοιχεία
"Λείπει το πεδίο ""occupancy"" (σε containsPlace)",Δεν έχει ξεκινήσει,2
"Λείπει το πεδίο ""identifier""",Δεν έχει ξεκινήσει,2
